CLNN,DAYS,TIMES,TS_D,SAA
74,0,심야,20,481
74,0,아침오전,12,299
74,0,오후,11,195
74,0,저녁,7,169
74,0,점심,16,280
75,0,밤,9,233
75,0,심야,27,598
75,0,아침오전,12,177
75,0,오후,13,280
75,0,저녁,10,200
75,0,점심,5,118
76,0,밤,11,220
76,0,심야,19,302
76,0,아침오전,18,390
76,0,오후,11,223
76,0,저녁,11,229
76,0,점심,11,165
77,0,밤,10,206
77,0,심야,22,455
77,0,아침오전,19,354
77,0,오후,10,259
77,0,저녁,8,148
77,0,점심,13,281
78,0,밤,13,282
78,0,심야,19,394
78,0,아침오전,18,332
78,0,오후,13,213
78,0,저녁,13,210
78,0,점심,4,119
79,0,밤,14,250
79,0,심야,22,427
79,0,아침오전,15,300
79,0,오후,12,196
79,0,저녁,7,123
79,0,점심,11,207
80,0,밤,10,173
80,0,심야,25,496
80,0,아침오전,14,263
80,0,오후,6,101
80,0,저녁,7,132
80,0,점심,7,146
81,0,밤,18,302
81,0,심야,29,552
81,0,아침오전,19,344
81,0,오후,19,265
81,0,저녁,15,260
81,0,점심,6,86
82,0,밤,14,213
82,0,심야,26,385
82,0,아침오전,11,203
82,0,오후,12,260
82,0,저녁,8,155
82,0,점심,5,106
83,0,밤,13,290
83,0,심야,24,442
83,0,아침오전,10,214
83,0,오후,12,184
83,0,저녁,9,138
83,0,점심,7,106
84,0,밤,12,213
84,0,심야,19,413
84,0,아침오전,12,233
84,0,오후,15,271
84,0,저녁,17,355
84,0,점심,10,180
85,0,밤,8,194
85,0,심야,23,385
85,0,아침오전,9,173
85,0,오후,10,227
85,0,저녁,9,217
85,0,점심,7,110
86,0,밤,15,412
86,0,심야,26,496
86,0,아침오전,19,302
86,0,오후,18,321
86,0,저녁,6,121
86,0,점심,12,239
87,0,밤,13,216
87,0,심야,19,277
87,0,아침오전,11,225
87,0,오후,18,303
87,0,저녁,11,180
87,0,점심,16,294
88,0,밤,10,222
88,0,심야,28,567
88,0,아침오전,14,282
88,0,오후,18,309
88,0,저녁,5,154
88,0,점심,11,226
89,0,밤,14,272
89,0,심야,28,649
89,0,아침오전,13,206
89,0,오후,21,408
89,0,저녁,14,295
89,0,점심,11,221
90,0,밤,11,220
90,0,심야,29,498
90,0,아침오전,16,342
90,0,오후,12,197
90,0,저녁,6,163
90,0,점심,8,123
91,0,밤,9,164
91,0,심야,26,417
91,0,아침오전,11,228
91,0,오후,17,356
91,0,저녁,14,296
91,0,점심,5,74
92,0,밤,5,76
92,0,심야,24,375
92,0,아침오전,15,222
92,0,오후,17,399
92,0,저녁,8,158
92,0,점심,10,161
93,0,밤,12,210
93,0,심야,28,575
93,0,아침오전,18,316
93,0,오후,13,297
93,0,저녁,12,195
93,0,점심,8,117
94,0,밤,12,205
94,0,심야,26,514
94,0,아침오전,16,380
94,0,오후,14,312
94,0,저녁,10,148
94,0,점심,10,245
95,0,밤,12,280
95,0,심야,20,420
95,0,아침오전,16,330
95,0,오후,15,289
95,0,저녁,11,203
95,0,점심,7,142
96,0,밤,8,162
96,0,심야,23,404
96,0,아침오전,10,122
96,0,오후,12,229
96,0,저녁,9,155
96,0,점심,4,59
97,0,밤,18,290
97,0,심야,26,463
97,0,아침오전,8,180
97,0,오후,13,202
97,0,저녁,10,151
97,0,점심,10,182
98,0,밤,11,223
98,0,심야,19,345
98,0,아침오전,8,118
98,0,오후,12,199
98,0,저녁,8,133
98,0,점심,13,222
99,0,밤,14,298
99,0,심야,19,363
99,0,아침오전,9,200
99,0,오후,9,221
99,0,저녁,6,99
99,0,점심,11,265
100,0,밤,17,423
100,0,심야,16,303
100,0,아침오전,13,217
100,0,오후,12,218
100,0,저녁,15,277
100,0,점심,8,132
101,0,밤,9,140
101,0,심야,21,347
101,0,아침오전,18,296
101,0,오후,15,252
101,0,저녁,9,207
101,0,점심,11,151
102,0,밤,6,72
102,0,심야,26,486
102,0,아침오전,12,232
102,0,오후,11,159
102,0,저녁,6,83
102,0,점심,11,217
103,0,밤,13,248
103,0,심야,23,408
103,0,아침오전,13,278
103,0,오후,18,296
103,0,저녁,10,179
103,0,점심,6,106
104,0,밤,11,177
104,0,심야,25,424
104,0,아침오전,8,118
104,0,오후,11,176
104,0,저녁,6,141
104,0,점심,9,191
105,0,밤,12,203
105,0,심야,20,407
105,0,아침오전,10,226
105,0,오후,13,298
105,0,저녁,8,158
105,0,점심,7,139
106,0,밤,15,315
106,0,심야,23,449
106,0,아침오전,14,242
106,0,오후,15,332
106,0,저녁,6,60
106,0,점심,10,178
107,0,밤,6,181
107,0,심야,21,503
107,0,아침오전,11,154
107,0,오후,11,253
107,0,저녁,12,184
107,0,점심,10,215
108,0,밤,11,218
108,0,심야,20,389
108,0,아침오전,19,328
108,0,오후,13,257
108,0,저녁,8,283
108,0,점심,8,150
109,0,밤,12,243
109,0,심야,16,352
109,0,아침오전,13,289
109,0,오후,15,245
109,0,저녁,11,128
109,0,점심,14,186
110,0,밤,7,138
110,0,심야,21,472
110,0,아침오전,10,252
110,0,오후,20,402
110,0,저녁,8,108
110,0,점심,8,146
111,0,밤,13,150
111,0,심야,19,417
111,0,아침오전,14,317
111,0,오후,9,231
111,0,저녁,10,182
111,0,점심,11,293
112,0,밤,7,137
112,0,심야,29,559
112,0,아침오전,10,249
112,0,오후,17,399
112,0,저녁,9,142
112,0,점심,17,290
113,0,밤,3,46
113,0,심야,27,455
113,0,아침오전,10,150
113,0,오후,11,182
113,0,저녁,10,187
113,0,점심,9,211
114,0,밤,9,178
114,0,심야,21,471
114,0,아침오전,8,113
114,0,오후,13,301
114,0,저녁,9,172
114,0,점심,9,208
115,0,밤,8,134
115,0,심야,19,492
115,0,아침오전,9,198
115,0,오후,9,205
115,0,저녁,11,150
115,0,점심,6,57
116,0,밤,8,179
116,0,심야,20,404
116,0,아침오전,10,165
116,0,오후,17,343
116,0,저녁,11,197
116,0,점심,8,173
117,0,밤,12,255
117,0,심야,32,631
117,0,아침오전,14,233
117,0,오후,13,193
117,0,저녁,12,168
117,0,점심,7,126
118,0,밤,13,239
118,0,심야,28,529
118,0,아침오전,11,183
118,0,오후,12,252
118,0,저녁,6,84
118,0,점심,7,88
119,0,밤,13,376
119,0,심야,19,385
119,0,아침오전,9,216
119,0,오후,15,205
119,0,저녁,12,228
119,0,점심,10,176
120,0,밤,15,240
120,0,심야,24,382
120,0,아침오전,9,117
120,0,오후,16,348
120,0,저녁,9,236
120,0,점심,8,235
121,0,밤,8,132
121,0,심야,22,386
121,0,아침오전,19,372
121,0,오후,11,179
121,0,저녁,9,181
121,0,점심,12,306
122,0,밤,10,141
122,0,심야,15,283
122,0,아침오전,18,328
122,0,오후,7,133
122,0,저녁,12,324
122,0,점심,3,50
123,0,밤,14,262
123,0,심야,27,706
123,0,아침오전,10,253
123,0,오후,14,276
123,0,저녁,7,136
123,0,점심,8,218
124,0,밤,11,156
124,0,심야,23,458
124,0,아침오전,9,152
124,0,오후,13,215
124,0,저녁,12,168
124,0,점심,11,205
125,0,밤,15,223
125,0,심야,27,473
125,0,아침오전,14,186
125,0,오후,9,155
125,0,저녁,12,220
125,0,점심,13,233
126,0,밤,7,111
126,0,심야,22,465
126,0,아침오전,8,122
126,0,오후,4,45
126,0,저녁,8,180
126,0,점심,11,190
127,0,밤,16,259
127,0,심야,25,562
127,0,아침오전,14,306
127,0,오후,14,228
127,0,저녁,8,207
127,0,점심,8,168
128,0,밤,9,95
128,0,심야,29,503
128,0,아침오전,14,261
128,0,오후,14,252
128,0,저녁,8,166
128,0,점심,10,174
129,0,밤,13,259
129,0,심야,20,339
129,0,아침오전,11,235
129,0,오후,17,349
129,0,저녁,13,276
129,0,점심,9,217
130,0,밤,13,241
130,0,심야,26,501
130,0,아침오전,11,254
130,0,오후,13,211
130,0,저녁,5,59
130,0,점심,12,266
131,0,밤,13,250
131,0,심야,22,442
131,0,아침오전,11,232
131,0,오후,13,332
131,0,저녁,7,122
131,0,점심,11,241
132,0,밤,5,100
132,0,심야,22,451
132,0,아침오전,12,220
132,0,오후,6,114
132,0,저녁,11,183
132,0,점심,10,213
133,0,밤,9,157
133,0,심야,21,341
133,0,아침오전,15,260
133,0,오후,10,186
133,0,저녁,14,272
133,0,점심,19,421
134,0,밤,11,239
134,0,심야,18,342
134,0,아침오전,14,206
134,0,오후,14,322
134,0,저녁,12,249
134,0,점심,15,291
135,0,밤,10,205
135,0,심야,22,339
135,0,아침오전,12,205
135,0,오후,16,273
135,0,저녁,12,165
135,0,점심,9,181
136,0,밤,5,70
136,0,심야,14,208
136,0,아침오전,12,213
136,0,오후,9,168
136,0,저녁,9,163
136,0,점심,6,108
137,0,밤,5,73
137,0,심야,26,470
137,0,아침오전,14,253
137,0,오후,9,215
137,0,저녁,7,96
137,0,점심,7,103
138,0,밤,15,298
138,0,심야,24,466
138,0,아침오전,24,438
138,0,오후,14,220
138,0,저녁,9,141
138,0,점심,15,335
139,0,밤,10,145
139,0,심야,23,392
139,0,아침오전,15,317
139,0,오후,17,413
139,0,저녁,12,239
139,0,점심,8,158
140,0,밤,8,165
140,0,심야,25,519
140,0,아침오전,14,273
140,0,오후,22,490
140,0,저녁,14,273
140,0,점심,15,221
141,0,밤,8,135
141,0,심야,22,384
141,0,아침오전,17,485
141,0,오후,15,390
141,0,저녁,12,245
141,0,점심,10,189
142,0,밤,5,93
142,0,심야,26,507
142,0,아침오전,12,251
142,0,오후,12,221
142,0,저녁,16,358
142,0,점심,5,63
143,0,밤,9,251
143,0,심야,30,594
143,0,아침오전,15,218
143,0,오후,21,302
143,0,저녁,4,62
143,0,점심,14,271
144,0,밤,7,175
144,0,심야,32,565
144,0,아침오전,10,197
144,0,오후,9,152
144,0,저녁,11,213
144,0,점심,7,117
145,0,밤,13,208
145,0,심야,28,483
145,0,아침오전,8,164
145,0,오후,14,327
145,0,저녁,14,289
145,0,점심,9,204
146,0,밤,8,125
146,0,심야,26,442
146,0,아침오전,10,182
146,0,오후,15,332
146,0,저녁,9,151
146,0,점심,14,269
147,0,밤,8,115
147,0,심야,24,482
147,0,아침오전,17,277
147,0,오후,13,279
147,0,저녁,9,153
147,0,점심,12,155
148,0,밤,10,210
148,0,심야,22,509
148,0,아침오전,16,238
148,0,오후,18,360
148,0,저녁,8,134
148,0,점심,10,189
149,0,밤,17,418
149,0,심야,29,668
149,0,아침오전,14,182
149,0,오후,17,374
149,0,저녁,8,152
149,0,점심,7,123
150,0,밤,12,243
150,0,심야,22,395
150,0,아침오전,17,233
150,0,오후,13,249
150,0,저녁,14,239
150,0,점심,12,242
151,0,밤,7,120
151,0,심야,23,456
151,0,아침오전,13,282
151,0,오후,11,181
151,0,저녁,6,133
151,0,점심,7,139
152,0,밤,14,262
152,0,심야,20,438
152,0,아침오전,17,295
152,0,오후,10,280
152,0,저녁,13,260
152,0,점심,12,215
153,0,밤,11,226
153,0,심야,25,541
153,0,아침오전,11,191
153,0,오후,19,297
153,0,저녁,14,187
153,0,점심,9,128
154,0,밤,10,175
154,0,심야,30,461
154,0,아침오전,9,177
154,0,오후,21,294
154,0,저녁,11,174
154,0,점심,10,234
155,0,밤,13,323
155,0,심야,17,286
155,0,아침오전,17,367
155,0,오후,11,186
155,0,저녁,8,183
155,0,점심,12,216
156,0,밤,13,297
156,0,심야,23,417
156,0,아침오전,14,345
156,0,오후,8,137
156,0,저녁,4,39
156,0,점심,5,82
157,0,밤,10,215
157,0,심야,21,370
157,0,아침오전,15,266
157,0,오후,17,334
157,0,저녁,8,204
157,0,점심,10,184
158,0,밤,14,229
158,0,심야,31,724
158,0,아침오전,18,420
158,0,오후,12,246
158,0,저녁,10,199
158,0,점심,4,76
159,0,밤,12,204
159,0,심야,23,416
159,0,아침오전,11,218
159,0,오후,12,262
159,0,저녁,15,241
159,0,점심,10,191
160,0,밤,15,343
160,0,심야,24,369
160,0,아침오전,15,304
160,0,오후,18,320
160,0,저녁,8,110
160,0,점심,9,169
161,0,밤,7,151
161,0,심야,22,404
161,0,아침오전,10,217
161,0,오후,21,411
161,0,저녁,13,191
161,0,점심,6,106
162,0,밤,6,107
162,0,심야,18,285
162,0,아침오전,10,206
162,0,오후,15,253
162,0,저녁,10,260
162,0,점심,9,232
163,0,밤,14,317
163,0,심야,23,462
163,0,아침오전,15,313
163,0,오후,14,149
163,0,저녁,7,141
163,0,점심,13,246
164,0,밤,11,122
164,0,심야,20,385
164,0,아침오전,8,159
164,0,오후,13,199
164,0,저녁,10,180
164,0,점심,7,120
165,0,밤,11,162
165,0,심야,24,461
165,0,아침오전,18,343
165,0,오후,19,355
165,0,저녁,6,103
165,0,점심,13,183
166,0,밤,11,220
166,0,심야,26,488
166,0,아침오전,14,284
166,0,오후,14,236
166,0,저녁,12,257
166,0,점심,7,158
167,0,밤,5,148
167,0,심야,30,471
167,0,아침오전,14,301
167,0,오후,9,188
167,0,저녁,10,151
167,0,점심,4,140
168,0,밤,12,259
168,0,심야,19,342
168,0,아침오전,15,210
168,0,오후,14,287
168,0,저녁,7,109
168,0,점심,6,136
169,0,밤,7,46
169,0,심야,21,509
169,0,아침오전,18,413
169,0,오후,12,125
169,0,저녁,7,117
169,0,점심,5,72
170,0,밤,8,121
170,0,심야,27,406
170,0,아침오전,18,373
170,0,오후,5,71
170,0,저녁,11,189
170,0,점심,11,186
171,0,밤,11,185
171,0,심야,22,379
171,0,아침오전,11,228
171,0,오후,6,128
171,0,저녁,8,73
171,0,점심,13,225
172,0,밤,15,239
172,0,심야,21,392
172,0,아침오전,18,293
172,0,오후,17,260
172,0,저녁,13,247
172,0,점심,9,150
173,0,밤,10,201
173,0,심야,24,512
173,0,아침오전,12,258
173,0,오후,17,299
173,0,저녁,13,327
173,0,점심,17,253
174,0,밤,11,218
174,0,심야,28,570
174,0,아침오전,8,126
174,0,오후,16,362
174,0,저녁,7,111
174,0,점심,5,60
175,0,밤,8,105
175,0,심야,30,562
175,0,아침오전,16,287
175,0,오후,19,307
175,0,저녁,13,269
175,0,점심,13,243
176,0,밤,18,289
176,0,심야,20,290
176,0,아침오전,18,441
176,0,오후,9,185
176,0,저녁,7,145
176,0,점심,9,133
177,0,밤,9,266
177,0,심야,20,426
177,0,아침오전,7,100
177,0,오후,12,254
177,0,저녁,7,131
177,0,점심,15,315
178,0,밤,18,330
178,0,심야,18,401
178,0,아침오전,15,222
178,0,오후,16,276
178,0,저녁,12,208
178,0,점심,13,213
179,0,밤,9,239
179,0,심야,19,306
179,0,아침오전,12,248
179,0,오후,9,211
179,0,저녁,10,245
179,0,점심,13,185
180,0,밤,5,75
180,0,심야,22,364
180,0,아침오전,21,356
180,0,오후,14,201
180,0,저녁,10,200
180,0,점심,7,147
181,0,밤,11,189
181,0,심야,23,392
181,0,아침오전,14,324
181,0,오후,13,244
181,0,저녁,19,399
181,0,점심,7,118
182,0,밤,17,326
182,0,심야,23,294
182,0,아침오전,14,260
182,0,오후,13,244
182,0,저녁,10,175
182,0,점심,13,324
183,0,밤,8,99
183,0,심야,25,398
183,0,아침오전,11,204
183,0,오후,15,216
183,0,저녁,8,111
183,0,점심,9,178
184,0,밤,9,135
184,0,심야,28,471
184,0,아침오전,9,225
184,0,오후,12,183
184,0,저녁,15,262
184,0,점심,14,239
185,0,밤,7,153
185,0,심야,17,320
185,0,아침오전,9,141
185,0,오후,15,208
185,0,저녁,7,171
185,0,점심,12,252
186,0,밤,8,224
186,0,심야,21,347
186,0,아침오전,23,396
186,0,오후,18,344
186,0,저녁,8,192
186,0,점심,8,163
187,0,밤,9,131
187,0,심야,21,448
187,0,아침오전,13,286
187,0,오후,12,159
187,0,저녁,10,230
187,0,점심,14,314
188,0,밤,6,115
188,0,심야,22,457
188,0,아침오전,15,342
188,0,오후,11,196
188,0,저녁,15,238
188,0,점심,14,255
189,0,밤,16,211
189,0,심야,23,486
189,0,아침오전,11,218
189,0,오후,16,390
189,0,저녁,8,146
189,0,점심,11,215
190,0,밤,12,207
190,0,심야,31,591
190,0,아침오전,17,360
190,0,오후,10,192
190,0,저녁,13,230
190,0,점심,9,152
191,0,밤,14,262
191,0,심야,21,442
191,0,아침오전,19,410
191,0,오후,8,137
191,0,저녁,3,26
191,0,점심,10,194
192,0,밤,6,119
192,0,심야,21,349
192,0,아침오전,16,226
192,0,오후,16,256
192,0,저녁,12,236
192,0,점심,10,197
193,0,밤,14,299
193,0,심야,23,318
193,0,아침오전,16,253
193,0,오후,10,100
193,0,저녁,12,235
193,0,점심,11,193
194,0,밤,10,239
194,0,심야,23,393
194,0,아침오전,11,197
194,0,오후,15,326
194,0,저녁,9,159
194,0,점심,16,362
195,0,밤,9,207
195,0,심야,29,456
195,0,아침오전,15,253
195,0,오후,9,182
195,0,저녁,8,159
195,0,점심,13,256
196,0,밤,13,246
196,0,심야,28,518
196,0,아침오전,9,204
196,0,오후,9,210
196,0,저녁,10,233
196,0,점심,13,216
197,0,밤,5,87
197,0,심야,22,404
197,0,아침오전,12,236
197,0,오후,15,288
197,0,저녁,5,99
197,0,점심,7,130
198,0,밤,12,205
198,0,심야,22,456
198,0,아침오전,6,125
198,0,오후,17,283
198,0,저녁,11,230
198,0,점심,8,110
199,0,밤,10,186
199,0,심야,23,464
199,0,아침오전,11,198
199,0,오후,10,163
199,0,저녁,16,342
199,0,점심,8,139
200,0,밤,12,237
200,0,심야,29,677
200,0,아침오전,5,92
200,0,오후,14,243
200,0,저녁,11,207
200,0,점심,14,223
201,0,밤,9,209
201,0,심야,19,381
201,0,아침오전,10,155
201,0,오후,19,441
201,0,저녁,12,218
201,0,점심,11,145
202,0,밤,10,184
