CLNN,MCT_ADM_GDS_APB_CD,CLNN,FINAL_CD,SAA,DOF_TF,DAW_CCD,MCT_N,TIME
17,26,85,209,159,2,12,257,792114
17,10,85,283,117,2,14,339,606545
17,20,51,150,74,3,7,234,206487
18,11,108,222,141,1,16,286,370209
18,32,36,158,84,1,2,37,283846
18,27,54,187,80,0,8,206,208922
19,3,76,221,127,2,8,157,341297
19,27,76,192,109,1,10,226,500390
19,1,57,99,97,0,5,147,446570
20,1,160,368,206,3,11,478,986222
20,9,100,304,131,3,15,278,334206
20,24,60,131,77,0,3,79,492613
21,15,84,264,108,1,12,180,625129
21,40,63,167,100,0,8,139,183818
21,26,84,64,99,2,13,183,419755
22,20,88,304,92,2,11,217,399929
22,4,110,277,81,1,15,209,727155
22,35,66,128,77,1,3,265,194148
23,3,115,358,103,3,14,262,743384
23,7,92,204,88,2,14,194,524353
23,12,69,130,85,1,10,234,131185
24,3,72,175,107,1,2,166,424185
24,1,96,234,99,1,7,134,642203
24,9,72,209,96,1,10,112,362018
25,16,75,197,92,1,9,113,221364
25,27,75,115,91,0,11,102,468860
25,9,75,75,76,1,12,85,215810
26,4,130,207,134,2,11,194,811357
26,11,104,257,110,2,10,136,409336
26,13,104,269,101,1,8,168,369716
27,5,135,255,116,0,11,354,448003
27,6,54,115,98,0,1,119,137259
27,3,81,197,76,2,4,90,232365
28,3,196,362,103,1,11,403,365092
28,31,56,139,87,1,1,122,218194
28,26,112,80,82,0,10,129,679127
29,6,145,277,94,1,11,262,790732
29,3,116,177,87,3,6,133,415797
29,34,87,242,72,0,7,162,361238
30,26,90,38,93,2,8,246,406376
30,34,120,269,79,2,6,194,589454
30,0,120,145,70,1,5,173,471196
31,38,124,260,101,0,9,190,561404
31,31,93,168,91,1,8,176,269118
31,16,124,186,77,0,9,225,358235
32,8,160,366,114,0,11,194,617716
32,17,128,282,79,0,7,106,379457
32,10,64,118,67,1,5,170,78006
33,3,198,192,157,1,15,338,659903
33,16,132,252,111,0,16,265,370043
33,14,132,199,108,1,11,211,466555
34,2,136,203,141,1,17,199,291252
34,15,102,186,101,0,9,136,318728
34,24,136,133,78,0,12,269,261072
35,1,210,229,109,2,14,406,759969
35,20,175,264,108,0,9,268,769461
35,2,105,162,93,1,5,165,133727
36,28,72,21,101,0,7,30,368338
36,4,108,139,87,0,7,246,427942
36,36,144,125,83,1,13,249,493871
37,22,148,135,88,0,7,193,490503
37,37,111,152,80,1,3,161,200467
37,15,148,191,58,0,14,86,772916
38,5,114,158,76,0,9,133,252687
38,22,152,226,74,0,12,182,684220
38,4,152,207,74,1,12,317,276955
39,1,195,376,157,0,17,206,696719
39,6,156,248,122,2,15,316,440772
39,5,117,123,71,1,13,151,291048
40,38,200,298,133,1,18,263,607991
40,11,200,354,131,4,13,240,640091
40,2,200,200,95,1,14,295,463520
41,15,246,350,136,2,16,159,873003
41,5,205,222,113,1,13,258,638176
41,23,205,163,94,3,8,178,549965
42,7,168,211,119,1,5,220,790775
42,31,84,93,82,0,3,58,314896
42,6,126,148,63,0,6,114,419342
43,11,215,325,93,3,8,175,657724
43,8,86,128,73,0,5,143,303813
43,14,172,198,52,0,12,238,413998
44,16,176,331,138,2,10,157,415945
44,5,176,226,109,0,15,274,697017
44,23,176,113,101,2,15,237,480896
45,24,225,168,143,2,12,341,383861
45,18,135,81,84,1,5,148,173803
45,45,135,154,83,0,9,176,210805
46,1,276,271,116,0,17,288,347756
46,6,230,243,91,0,22,325,653016
46,40,138,274,79,0,7,189,293585
47,1,141,133,64,3,6,170,312863
47,23,94,122,64,1,6,132,13449
47,18,94,111,57,0,4,61,221656
48,22,192,180,115,1,14,188,567597
48,15,240,299,100,0,18,371,549081
48,30,192,233,93,0,15,189,508177
49,29,196,180,132,1,11,168,524201
49,27,245,190,122,1,12,258,431230
49,1,294,476,105,1,16,337,928168
50,1,300,254,143,2,14,224,685008
50,20,250,285,100,3,12,229,578976
50,15,200,219,77,0,19,103,751173
51,9,204,131,161,1,3,243,636678
51,6,255,255,117,3,15,270,527105
51,22,255,253,69,0,16,276,613662
52,11,208,225,114,2,10,207,446962
52,22,208,159,107,1,14,247,598108
52,44,156,111,96,0,5,177,271314
53,22,318,404,147,1,24,290,966215
53,12,159,147,87,1,9,33,350460
53,21,106,160,69,0,3,123,141520
54,29,270,265,112,1,10,383,411003
54,47,108,87,93,1,8,92,287150
54,17,162,91,58,1,9,111,256551
55,9,220,143,117,0,10,323,235210
55,54,110,58,77,2,7,127,221448
55,23,220,212,77,2,12,283,725355
56,8,168,145,102,1,5,193,266583
56,41,168,181,96,1,5,148,443254
56,5,168,227,95,1,11,171,370998
57,8,171,152,107,0,9,56,325830
57,6,285,146,93,3,7,183,763849
57,12,171,142,86,0,4,122,239777
58,2,464,373,145,2,23,457,1147113
58,20,348,359,101,2,18,243,472289
58,28,232,148,66,0,11,258,714541
59,1,236,232,89,2,6,188,360280
59,10,236,207,82,1,3,260,349741
59,18,295,234,82,1,8,185,499680
60,1,300,293,140,1,12,311,496360
60,26,300,309,97,0,16,275,569059
60,13,240,113,77,2,14,188,359048
61,24,183,136,106,1,13,47,371699
61,31,244,213,96,1,9,188,652201
61,48,122,100,66,1,1,130,186626
62,18,372,464,117,2,13,269,649815
62,1,248,212,107,1,5,98,295899
62,43,186,148,90,1,7,102,346013
63,18,378,280,112,2,17,268,625832
63,20,189,236,82,0,4,111,487638
63,14,189,210,75,1,6,150,297851
64,6,320,224,88,0,4,222,677920
64,10,256,196,83,2,7,86,529566
64,2,256,244,73,0,12,279,332036
65,12,260,242,110,1,15,305,519494
65,24,130,72,96,1,10,140,75314
65,20,195,111,82,0,7,124,464614
66,6,330,291,122,0,7,159,503553
66,4,198,107,98,1,7,164,156380
66,14,198,209,77,1,11,129,286468
67,30,335,151,143,2,12,292,572130
67,4,335,267,94,1,16,128,366230
67,15,134,138,80,0,2,158,419435
68,22,408,158,176,2,17,347,855304
68,4,272,286,88,2,10,186,816420
68,7,272,97,66,1,15,115,594162
69,16,345,372,122,1,11,134,609018
69,4,207,195,115,1,6,119,557660
69,15,345,195,115,2,9,322,755549
70,11,420,355,116,3,18,320,906043
70,25,350,247,116,1,9,308,559124
70,4,280,81,103,3,14,216,625342
71,2,213,165,72,0,6,83,248534
71,29,213,139,72,2,2,126,151310
71,1,142,101,60,0,1,140,201681
72,11,216,127,140,0,7,194,428013
72,32,360,280,93,1,12,328,708725
72,9,288,127,90,1,9,180,361348
73,11,219,222,112,0,9,109,431277
73,6,292,143,105,2,12,299,566153
73,2,365,266,105,1,7,193,618831
74,14,592,483,189,2,16,341,936896
74,7,518,313,169,3,10,380,609759
74,26,222,207,106,0,6,202,295961
75,5,300,211,90,3,10,200,546705
75,25,225,97,83,2,8,82,563721
75,37,225,168,81,1,12,149,360485
76,13,228,137,127,1,5,190,516216
76,11,228,136,114,2,5,194,378486
76,16,152,48,74,0,7,53,136121
77,8,308,205,115,1,9,173,518466
77,3,231,199,78,0,13,197,430644
77,91,154,22,76,0,3,57,188375
78,1,312,197,125,2,6,219,315516
78,22,234,111,99,2,5,123,451906
78,8,468,344,88,2,15,334,839471
79,6,474,257,176,3,18,352,894066
79,22,237,72,95,0,8,99,444874
79,11,158,52,78,1,4,29,88141
80,8,240,112,121,2,7,148,358677
80,9,400,288,107,0,14,311,552999
80,1,480,348,90,1,16,261,838997
81,10,567,424,154,3,16,325,819594
81,52,324,210,121,2,17,148,488491
81,26,324,216,99,1,12,137,705178
82,18,246,225,93,2,7,158,282764
82,13,410,316,84,1,11,272,628687
82,11,246,139,83,0,11,148,591968
83,28,166,130,77,0,3,156,262308
83,35,332,167,71,2,12,195,739595
83,4,332,132,67,1,9,244,604934
84,16,420,279,110,2,10,127,780624
84,37,252,165,106,0,10,73,482655
84,35,252,143,88,0,5,164,288942
85,17,340,218,91,2,10,244,251239
85,24,340,298,81,1,11,258,405742
85,23,255,82,69,1,9,35,485491
86,25,430,373,106,3,14,226,338109
86,31,258,162,101,0,6,162,326186
86,3,258,142,88,1,8,58,525844
87,10,261,138,124,2,9,144,380227
87,5,348,165,83,1,11,187,497281
87,45,348,217,74,1,12,104,678162
88,6,528,330,99,3,15,213,431185
88,11,264,228,93,1,12,161,285005
88,10,264,181,90,0,9,182,339984
89,7,534,414,152,1,11,457,412624
89,34,267,55,115,0,7,97,330510
89,1,445,256,105,2,14,147,645097
90,40,270,201,144,0,8,186,325291
90,8,540,248,139,1,11,396,606754
90,14,270,201,87,1,13,127,220104
91,14,455,291,78,1,21,252,733553
91,4,273,119,74,0,8,177,397189
91,26,182,94,71,1,6,101,165740
92,13,552,321,146,3,14,183,1096440
92,0,552,239,127,1,16,316,953840
92,12,276,181,93,1,5,38,264204
93,13,558,396,120,1,13,291,826881
93,21,465,106,119,4,14,328,598352
93,10,465,287,108,4,14,221,392462
94,6,376,198,179,2,9,127,466823
94,2,470,258,132,1,14,199,418206
94,16,376,208,91,1,5,236,668688
95,4,570,312,144,2,20,184,1129251
95,21,285,225,115,2,7,144,303217
95,14,380,231,88,0,15,325,527578
96,7,384,119,89,1,13,192,336148
96,38,384,204,85,2,14,133,587786
96,21,192,194,72,0,3,164,343148
97,3,291,182,119,1,7,151,302942
97,27,485,289,91,0,17,284,412829
97,1,291,182,89,2,7,199,426941
98,35,392,276,111,2,11,244,587255
98,25,294,154,104,1,10,133,344675
98,39,294,210,98,1,12,126,567685
99,1,495,187,100,2,9,318,630749
99,41,297,136,98,2,3,122,266034
99,8,297,185,83,0,4,196,431704
100,2,500,159,124,2,12,209,745351
100,9,500,316,83,2,7,77,783526
100,29,400,242,75,0,7,128,696350
101,32,404,168,75,0,11,154,497314
101,6,303,101,72,0,13,197,237011
101,36,404,165,68,2,13,189,375031
102,10,510,193,108,0,5,197,696146
102,27,204,106,79,0,10,153,322813
102,3,510,166,62,1,10,238,825083
103,1,412,200,94,2,8,97,245319
103,14,309,248,78,0,6,188,329148
103,22,206,66,77,1,3,87,311796
104,32,624,330,84,2,9,104,592311
104,31,312,148,66,0,13,172,303540
104,6,416,154,64,0,12,233,475867
105,8,630,126,114,1,17,279,601365
105,21,525,241,102,2,12,361,653880
105,11,420,119,101,0,7,132,263397
106,11,530,213,93,2,12,307,775209
106,5,424,213,90,0,16,101,300609
106,1,318,184,87,1,6,100,224237
107,34,321,167,110,2,7,131,469252
107,18,321,187,84,1,7,131,387708
107,0,428,202,71,1,10,176,262940
108,1,540,240,149,2,14,233,515347
108,4,324,197,109,2,11,85,515581
108,21,432,215,102,0,18,177,406448
109,6,327,130,104,0,10,140,277443
109,26,327,179,93,0,11,43,211811
109,15,436,288,77,3,11,129,706959
110,4,440,90,117,1,10,353,393653
110,13,330,158,107,1,5,116,368364
110,26,440,200,101,1,4,228,504616
111,7,777,368,131,2,24,375,904181
111,13,444,172,102,1,9,219,243613
111,21,444,185,92,2,14,134,372166
112,32,336,240,129,0,10,147,305827
112,2,448,172,125,0,6,292,445504
112,11,448,114,98,1,10,145,393980
113,2,452,246,110,2,14,217,406234
113,10,565,303,97,3,4,228,335467
113,28,452,208,86,2,12,59,440633
114,18,342,197,101,2,10,218,412199
114,15,228,173,76,1,0,47,167932
114,26,228,16,61,0,3,48,145006
115,43,115,7,75,0,4,29,38091
115,37,345,251,71,0,8,143,571280
115,21,345,92,66,1,12,194,179728
116,24,812,356,92,1,11,313,1041452
116,52,348,91,90,1,5,150,464672
116,39,348,130,89,0,12,130,146691
117,30,585,297,86,2,14,214,362641
117,10,468,328,84,1,7,291,429181
117,11,234,165,82,0,5,166,163912
118,23,472,203,89,1,8,166,181269
118,28,354,239,85,2,3,127,378451
118,9,590,296,83,3,19,370,770557
119,23,595,324,100,0,18,116,614891
119,13,476,195,89,1,10,138,498394
119,15,357,195,78,0,8,9,322388
120,17,840,460,148,3,16,390,768078
120,13,360,98,118,1,6,136,421723
120,8,840,299,112,2,16,207,1201377
121,3,605,254,117,4,13,288,638806
121,17,484,250,114,3,8,215,485735
121,4,605,317,113,3,15,284,438914
122,9,366,118,85,0,9,140,382595
122,21,366,213,66,0,8,69,368135
122,17,366,155,63,1,5,139,363682
123,5,492,253,144,0,4,138,350053
123,2,615,353,132,1,18,196,532219
123,1,369,150,81,2,10,107,470371
124,26,372,160,101,0,6,181,192611
124,24,496,170,101,1,10,190,346457
124,21,496,331,81,2,12,196,662493
125,1,375,189,92,0,5,43,215879
125,9,500,304,84,2,10,113,622651
125,11,375,132,77,1,7,180,231944
126,18,756,240,89,4,21,313,624608
126,13,504,247,78,2,1,210,380620
126,6,378,198,70,0,7,72,120240
127,12,889,273,139,3,17,276,1149896
127,5,762,284,130,1,14,355,941643
127,20,635,321,105,2,11,341,886860
128,18,384,234,104,1,6,190,249436
128,15,384,122,90,0,6,107,334935
128,14,512,187,83,0,7,249,458577
129,8,516,173,165,1,13,232,563502
129,4,516,209,126,1,2,118,523389
129,47,387,119,106,1,10,151,602300
130,24,520,232,139,2,11,234,480006
130,9,260,80,96,0,7,51,246324
130,13,390,256,92,0,7,69,409659
131,21,524,247,113,3,10,158,303002
131,3,524,197,110,1,15,137,491968
131,32,655,270,94,3,13,251,458121
132,15,528,297,86,0,8,159,359184
132,6,396,188,69,1,14,188,396067
132,21,264,82,66,0,6,44,207686
133,15,665,254,125,0,9,261,874700
133,4,665,276,115,0,17,180,545893
133,7,532,111,97,0,13,295,583570
134,25,536,229,118,1,9,188,640297
134,4,268,40,114,0,1,81,258023
134,6,402,196,94,0,2,188,213415
135,24,675,134,121,2,16,229,707846
135,12,810,357,94,3,15,386,564839
135,17,540,212,88,2,11,250,248144
136,18,544,154,120,0,8,118,456674
136,25,408,162,58,2,3,168,592458
136,67,272,105,46,0,10,82,244622
137,4,274,119,65,0,10,146,365958
137,3,548,261,61,0,15,129,695209
137,9,411,178,55,2,8,172,349534
138,8,828,252,172,2,9,409,837130
138,7,690,289,114,1,9,287,554581
138,3,552,237,105,1,12,126,557031
139,6,834,269,123,1,12,336,734798
139,21,695,258,120,0,10,204,755642
139,5,556,175,99,0,12,224,420787
140,3,700,306,123,4,11,254,470164
140,31,560,104,97,1,13,183,532831
140,16,560,140,94,2,13,140,374857
141,22,846,294,148,1,13,288,614181
141,48,282,161,109,0,3,109,220118
141,9,564,150,93,0,10,227,412135
142,7,568,228,117,0,8,100,325341
142,1,568,285,114,1,7,274,485827
142,20,426,195,87,1,3,81,186220
143,2,1001,247,133,1,23,195,627230
143,26,429,86,118,0,8,223,494077
143,9,858,162,114,0,11,306,724481
144,12,720,295,82,1,14,270,546449
144,10,432,158,63,0,4,214,155516
144,22,576,259,61,1,9,137,719652
145,11,580,248,153,1,14,160,686049
145,2,725,253,121,2,14,228,552768
145,13,435,127,76,1,7,82,259181
146,11,438,139,72,0,11,41,288027
146,20,438,144,71,1,6,210,334338
146,42,438,127,66,0,5,155,597947
147,12,735,266,91,0,15,222,271933
147,45,294,50,79,1,5,20,287279
147,13,441,164,77,2,10,116,533235
148,10,592,220,124,0,13,199,453930
148,6,740,347,94,1,12,177,624692
148,2,740,234,93,0,13,159,621547
149,2,894,318,123,3,13,153,821122
149,27,447,134,105,1,5,160,419331
149,45,298,106,91,0,7,107,363827
150,24,750,286,105,3,19,321,428105
150,5,750,225,77,3,8,206,913775
150,13,450,93,72,0,10,125,259544
151,12,755,227,119,2,9,147,313730
151,11,755,186,81,0,9,288,610140
151,24,604,233,78,1,16,239,359259
152,3,608,280,108,1,13,292,658665
152,21,760,306,95,2,7,185,918441
152,7,456,117,93,1,14,119,410580
153,29,612,195,78,1,13,182,564304
153,2,459,64,75,2,14,183,456425
153,23,459,153,75,1,0,128,303004
154,1,924,364,130,3,12,285,277041
154,25,462,154,75,1,5,77,196109
154,3,616,205,70,1,13,196,393707
155,20,465,81,61,0,5,161,344948
155,8,310,90,60,0,7,166,255327
155,22,465,144,59,1,5,145,458546
156,1,780,235,152,4,10,229,533757
156,16,468,174,84,1,8,238,451979
156,21,468,155,76,1,4,132,495669
157,7,628,63,121,1,11,221,575191
157,34,628,132,89,1,9,204,515748
157,9,785,286,82,1,8,331,708987
158,14,632,291,142,3,5,249,341999
158,20,474,178,116,0,13,207,61253
158,42,632,216,109,2,10,131,634113
159,19,1272,558,139,3,17,383,1085151
159,4,477,195,91,0,4,172,213095
159,5,795,278,87,3,14,299,654882
160,19,960,274,132,0,17,236,991124
160,7,800,206,93,0,9,298,695381
160,3,640,181,82,2,12,184,385715
161,25,805,313,112,1,12,303,693078
161,34,644,269,110,2,10,234,754299
161,12,644,191,83,2,5,291,354543
162,28,486,218,92,1,6,119,388361
162,21,810,231,85,1,10,272,838436
162,4,486,172,82,0,4,121,340721
163,1,1304,407,104,0,21,510,849033
163,21,652,220,94,0,14,232,529919
163,49,489,124,87,0,6,128,546752
164,26,656,124,98,1,8,114,733203
164,0,820,276,92,1,10,227,532048
164,9,492,219,88,1,6,173,581076
165,23,660,186,100,1,11,191,476273
165,9,825,204,98,1,15,125,648545
165,21,495,208,85,2,8,178,374468
166,4,498,238,95,1,13,137,430933
166,24,498,181,94,0,8,133,389842
166,36,498,134,88,1,10,112,336569
167,12,668,208,105,1,18,307,245511
167,21,668,222,94,2,10,252,535422
167,3,501,62,73,0,11,121,339950
168,1,1176,382,178,3,18,431,1114148
168,18,504,60,93,0,2,214,347108
168,0,336,174,69,1,4,67,348099
169,1,676,265,115,0,12,223,169292
169,50,169,10,72,0,4,4,62960
169,9,338,104,70,1,8,133,152352
170,17,510,194,74,0,10,70,238456
170,25,510,64,64,2,5,152,239042
170,26,510,136,61,1,6,229,153954
171,18,684,312,110,2,12,135,689430
171,26,513,152,76,2,7,170,248679
171,37,684,230,71,2,8,202,374106
172,10,688,254,73,2,8,269,485330
172,12,516,182,69,2,13,166,80706
172,4,516,136,67,0,8,110,561478
173,8,1211,345,152,2,13,377,869081
173,1,346,107,99,0,4,84,282241
173,33,519,172,79,3,11,203,379754
174,30,522,86,107,2,13,247,359002
174,4,1044,307,100,1,21,308,612646
174,6,870,183,91,1,17,305,565151
175,1,1575,578,137,1,19,415,753733
175,2,700,252,116,1,12,135,401826
175,24,525,131,93,1,7,147,208629
176,2,704,99,109,2,15,102,695128
176,29,704,187,98,0,9,216,645096
176,18,704,234,81,0,6,288,386812
177,20,708,238,122,0,9,127,801650
177,33,531,97,111,0,9,202,328505
177,44,531,137,95,2,10,94,422432
178,9,1068,328,150,2,18,372,804147
178,16,1246,508,102,2,14,322,1046728
178,33,890,251,82,3,11,293,798990
179,21,537,189,96,1,6,139,481050
179,4,537,84,85,0,9,235,416232
179,12,537,183,83,1,4,196,514697
180,6,900,172,110,1,13,216,591801
180,23,900,263,73,2,17,406,696940
180,32,720,276,67,2,11,232,507095
181,8,1086,321,109,3,20,253,597432
181,32,905,298,99,1,12,300,610266
181,5,724,212,93,1,10,128,743001
182,19,1456,403,136,3,25,471,1263759
182,14,546,138,93,0,8,94,577702
182,24,546,112,75,0,5,203,289522
183,14,732,165,102,1,13,237,551730
183,22,549,65,68,0,9,130,344417
183,16,549,145,60,0,5,125,403192
184,12,736,232,119,1,14,165,256835
184,8,920,223,87,1,11,288,750399
184,1,736,180,72,2,6,346,408298
185,12,925,291,88,2,19,292,487735
185,8,370,80,67,1,2,96,374727
185,34,370,84,67,1,2,97,244310
186,32,930,375,132,1,11,255,750943
186,21,744,63,114,1,7,273,546840
186,17,1116,325,106,2,19,359,654933
187,1,748,185,100,2,11,242,483689
187,27,748,232,94,0,9,215,514296
187,12,374,192,89,2,7,100,274607
188,9,940,345,128,1,8,261,673136
188,10,1128,308,117,2,12,266,614563
188,40,940,282,102,4,19,160,755296
189,17,945,153,124,3,13,352,533058
189,20,1134,317,114,1,17,459,671912
189,24,756,258,102,1,13,311,571814
190,34,570,140,91,1,11,146,337049
190,4,570,102,86,0,4,152,515129
190,10,380,154,84,0,6,110,40588
191,5,955,287,185,2,12,286,738481
191,8,764,162,117,1,11,250,207808
191,29,573,131,83,1,11,134,285505
192,8,1152,182,106,3,13,309,490278
192,35,768,144,99,1,12,183,492969
192,7,768,154,80,1,8,298,656101
193,3,579,215,76,1,9,208,457448
193,1,772,158,75,1,18,257,722689
193,10,965,308,59,2,15,198,460306
194,14,776,259,139,2,14,283,726174
194,7,970,291,111,0,11,309,508682
194,16,776,305,95,0,10,138,720412
195,14,1170,266,146,0,14,321,899632
195,6,780,161,101,0,7,113,619762
195,9,780,164,76,1,9,201,204714
196,1,588,95,104,0,6,120,414767
196,7,784,157,97,1,9,229,410397
196,9,588,194,94,0,8,191,476206
197,26,394,112,89,0,1,92,136014
197,31,591,178,83,2,5,204,547756
197,13,591,213,83,0,6,97,383834
198,5,1188,426,126,2,16,230,884184
198,3,594,207,72,1,10,93,385768
198,6,396,123,71,0,1,154,82276
199,29,1194,427,143,0,15,249,1064048
199,6,995,193,134,1,9,297,398222
199,3,1393,265,109,1,14,452,648540
200,3,1000,215,112,2,15,268,547953
200,16,800,260,101,0,9,52,346614
200,21,800,139,94,1,11,245,487664
201,22,603,172,105,0,7,104,312862
201,4,804,189,105,1,15,212,754899
201,11,603,165,81,1,8,155,215697
202,18,808,105,105,0,7,246,666386
202,24,606,117,97,0,11,174,244431
202,20,606,225,94,0,10,276,159324
203,16,609,196,81,0,0,42,539827
203,10,609,176,69,1,7,132,492259
203,34,609,130,68,0,8,115,257601
204,2,612,168,112,0,7,135,254347
204,13,816,217,107,1,10,291,693852
204,30,1020,214,101,1,12,316,502160
205,14,1230,280,133,2,4,328,965977
205,8,1025,310,117,1,10,207,554847
205,22,820,139,88,1,13,160,713898
206,10,618,164,77,2,7,199,379729
206,13,618,208,70,0,10,171,386211
206,17,824,191,69,1,15,143,412718
207,6,621,174,83,0,7,50,252316
207,23,621,98,78,1,13,26,248607
207,32,414,22,77,1,6,167,412802
208,30,624,173,122,0,7,134,343384
208,5,624,95,89,1,5,71,302442
208,19,624,139,84,0,10,187,65624
209,14,1463,336,173,2,14,327,633364
209,26,836,127,117,0,8,255,614944
209,13,418,19,83,1,8,52,101647
210,9,1050,250,115,1,11,253,700825
210,14,630,159,87,1,5,147,296328
210,25,630,163,84,0,12,182,274297
211,2,1266,273,103,4,19,257,655245
211,16,1266,203,89,1,12,311,911224
211,32,633,104,79,0,9,214,271738
212,3,636,109,69,0,9,208,354020
212,24,636,199,65,0,15,115,263650
212,64,212,26,57,1,3,40,85996
213,2,1065,213,66,2,6,293,553855
213,13,639,129,64,1,0,114,236715
213,42,426,95,63,0,8,91,88788
214,16,1070,322,122,0,14,199,548170
214,21,1070,160,92,1,11,311,735211
214,23,642,173,86,1,5,221,555518
215,8,860,110,137,0,11,124,555485
215,11,645,249,122,1,6,127,284731
215,6,430,102,81,0,7,138,246884
216,11,864,244,137,2,10,180,750240
216,43,1080,248,98,0,11,315,693486
216,7,648,182,84,0,7,148,273434
217,28,1519,309,145,1,11,484,959090
217,5,651,70,95,0,14,223,270599
217,25,868,146,84,2,8,213,424287
218,38,872,347,113,2,8,229,284182
218,20,1090,293,100,0,9,186,375879
218,4,654,151,88,1,8,119,389414
219,13,1095,112,114,1,11,245,557063
219,2,876,279,99,1,8,295,504392
219,27,876,279,95,1,10,218,526693
220,38,660,129,82,0,7,70,489423
220,18,660,184,72,1,9,180,381699
220,11,440,41,65,0,5,86,240391
221,5,1105,254,114,1,10,425,642714
221,34,663,65,98,1,9,193,431026
221,24,884,181,85,1,5,247,705091
222,10,1110,317,120,0,19,260,483126
222,5,1110,270,104,2,11,188,410812
222,17,888,282,104,1,6,258,501907
223,3,1561,388,202,0,18,115,795154
223,9,1115,188,85,0,11,300,361349
223,13,892,210,82,2,8,244,572861
224,7,1344,274,164,0,18,148,888515
224,25,1120,186,98,1,14,186,800512
224,11,1120,330,87,1,13,346,626523
225,43,900,203,92,1,6,277,354885
225,13,900,114,87,0,8,201,575703
225,21,900,196,79,1,9,261,451249
226,41,904,278,113,1,11,197,476134
226,11,1356,326,108,2,11,319,712506
226,14,904,277,105,3,13,188,595426
227,2,1362,322,152,3,22,292,896463
227,4,1135,332,136,1,13,335,638637
227,20,1362,318,106,2,17,360,923751
228,38,1140,220,133,3,14,299,759680
228,65,456,193,84,0,5,90,327376
228,21,684,180,77,3,11,236,491348
229,17,1145,213,155,2,12,312,718490
229,3,916,217,146,1,9,214,339421
229,5,916,208,100,1,10,155,567928
230,24,920,249,106,2,8,168,249165
230,33,690,64,85,0,9,262,299984
230,38,460,17,76,0,0,106,123103
231,3,924,236,99,0,10,253,644905
231,10,1155,273,75,1,7,302,540536
231,5,1155,228,70,2,12,253,462116
232,15,928,133,109,0,13,207,365214
232,2,1392,393,80,3,18,303,821733
232,14,464,81,70,1,8,92,176390
233,2,1398,405,115,2,5,288,715991
233,17,699,188,65,0,9,60,334989
233,8,932,82,63,0,9,167,96149
234,27,702,135,92,0,5,114,192276
234,4,702,156,91,1,5,94,340235
234,21,1404,218,85,3,10,300,955014
235,10,940,212,107,1,8,256,565290
235,6,940,225,95,3,12,71,470447
235,34,705,181,77,2,7,120,392561
236,12,944,137,127,1,11,326,392792
236,5,944,238,96,2,7,179,281147
236,16,708,139,93,2,6,236,409781
237,11,1185,259,146,0,13,348,658879
237,1,948,214,102,2,9,191,397735
237,28,474,42,81,0,4,60,300417
238,16,714,104,87,0,12,154,496410
238,5,952,290,86,0,12,171,555091
238,9,1190,153,79,1,13,292,539753
239,9,717,129,107,0,7,84,263129
239,34,717,71,85,2,10,140,405960
239,27,1434,280,83,1,10,241,603528
240,26,960,287,109,1,13,141,766722
240,7,1200,152,106,2,5,229,524594
240,5,960,291,91,2,8,127,405205
241,27,1687,401,136,1,17,194,863753
241,12,1205,230,115,2,10,339,542343
241,5,723,142,107,1,6,75,422754
